account_id,symbol,side,leverage,amount,total_funding,holding_minutes
A_2db64f326b,APTUSDT.PERP,LONG,7,549999.996728,21989.19913135186,0.06716452538967133
A_f96ede8d34,ASTRUSDT.PERP,SHORT,10,11999.983712,9649.18641272638,2.380001842975616
A_d444580218,ASTRUSDT.PERP,SHORT,10,11999.979966,5923.192704922873,2.386703342199326
A_f96ede8d34,ASTRUSDT.PERP,SHORT,10,11999.978634,9649.18641272638,0.8476095646619797
A_d444580218,ASTRUSDT.PERP,SHORT,10,11999.978634,5923.192704922873,0.8481587469577789
A_f96ede8d34,AVNTUSDT.PERP,LONG,20,39999.95595,9649.18641272638,8.925951048731804
A_f96ede8d34,AVNTUSDT.PERP,LONG,20,39999.98775,9649.18641272638,1.767942532896996
A_d444580218,AVNTUSDT.PERP,LONG,20,39999.98775,5923.192704922873,1.76708422601223
A_f96ede8d34,AVNTUSDT.PERP,LONG,20,39999.96913,9649.18641272638,2.317832261323929
A_d444580218,AVNTUSDT.PERP,LONG,20,39999.96913,5923.192704922873,2.319691032171249
A_f96ede8d34,AVNTUSDT.PERP,LONG,20,39998.98305,9649.18641272638,2.156539633870125
A_f96ede8d34,AVNTUSDT.PERP,SHORT,20,39999.99102,9649.18641272638,0.3745510429143906
A_d444580218,AVNTUSDT.PERP,SHORT,20,39999.99102,5923.192704922873,0.3961951285600662
A_d444580218,AVNTUSDT.PERP,LONG,20,31999.94304,5923.192704922873,5.7093695551157
A_f96ede8d34,AVNTUSDT.PERP,LONG,20,31998.73248,9649.18641272638,5.691373273730278
A_f96ede8d34,AVNTUSDT.PERP,SHORT,20,31999.96696,9649.18641272638,1.157961264252663
A_d444580218,AVNTUSDT.PERP,SHORT,20,31999.96696,5923.192704922873,1.14038273692131
A_f96ede8d34,AVNTUSDT.PERP,LONG,20,31999.99415,9649.18641272638,2.53871887922287
A_d444580218,AVNTUSDT.PERP,LONG,20,31999.99415,5923.192704922873,2.537666112184525
A_f96ede8d34,AVNTUSDT.PERP,SHORT,20,31999.94686,9649.18641272638,0.2683355659246445
A_d444580218,AVNTUSDT.PERP,SHORT,20,31999.94686,5923.192704922873,0.2574176341295242
A_f96ede8d34,AVNTUSDT.PERP,SHORT,20,31999.95605,9649.18641272638,2.354656979441643
A_d444580218,AVNTUSDT.PERP,SHORT,20,31999.95605,5923.192704922873,2.349271774291992
A_f96ede8d34,AVNTUSDT.PERP,SHORT,20,31999.968,9649.18641272638,0.3587736189365387
A_d444580218,AVNTUSDT.PERP,SHORT,20,31999.968,5923.192704922873,0.3545162826776505
A_f96ede8d34,AVNTUSDT.PERP,SHORT,20,31999.98168,9649.18641272638,0.2958449721336365
A_f96ede8d34,AVNTUSDT.PERP,SHORT,20,31999.99558,9649.18641272638,4.518536478281021
A_d444580218,AVNTUSDT.PERP,SHORT,20,31999.99558,5923.192704922873,4.517941027879715
A_f96ede8d34,AVNTUSDT.PERP,SHORT,20,39999.97896,9649.18641272638,0.2235882729291916
A_d444580218,AVNTUSDT.PERP,SHORT,20,39999.97896,5923.192704922873,0.2233723551034927
A_f96ede8d34,AVNTUSDT.PERP,SHORT,20,39999.9435,9649.18641272638,0.2219722419977188
A_d444580218,BASUSDT.PERP,SHORT,10,12000.0,5923.192704922873,0.2827886492013931
A_f96ede8d34,BASUSDT.PERP,SHORT,10,11999.97468,9649.18641272638,0.2899830043315887
A_f96ede8d34,BIOUSDT.PERP,LONG,10,29999.991708,9649.18641272638,4.133616015315056
A_d444580218,BIOUSDT.PERP,LONG,10,29999.99376,5923.192704922873,12.76729546487331
A_f96ede8d34,BIOUSDT.PERP,LONG,10,29998.894473,9649.18641272638,12.74917110800743
A_f96ede8d34,BIOUSDT.PERP,SHORT,10,29999.991537,9649.18641272638,5.153589695692062
A_d444580218,BIOUSDT.PERP,SHORT,10,29999.99112,5923.192704922873,5.167964324355125
A_f96ede8d34,BIOUSDT.PERP,LONG,10,29999.99528,9649.18641272638,1.818964183330536
A_d444580218,BIOUSDT.PERP,LONG,10,27251.591674,5923.192704922873,1.913307532668114
A_d444580218,BIOUSDT.PERP,SHORT,10,25106.393501,5923.192704922873,1.348023265600204
A_f96ede8d34,BIOUSDT.PERP,SHORT,10,29999.997489,9649.18641272638,1.378981322050095
A_2db64f326b,CAKEUSDT.PERP,LONG,5,119999.8142,21989.19913135186,0.2229304611682892
A_d444580218,COMMONUSDT.PERP,LONG,10,23999.977664,5923.192704922873,0.8452418446540833
A_f96ede8d34,COMMONUSDT.PERP,LONG,10,23998.988792,9649.18641272638,0.8150918036699295
A_f96ede8d34,CTKUSDT.PERP,LONG,10,11999.99625,9649.18641272638,0.09922228753566742
A_d444580218,CTKUSDT.PERP,LONG,10,11999.99625,5923.192704922873,0.09885616600513458
A_d444580218,CTKUSDT.PERP,LONG,10,11999.9825,5923.192704922873,0.07927268743515015
A_f96ede8d34,CTKUSDT.PERP,LONG,10,11999.9825,9649.18641272638,0.07876105606555939
A_f96ede8d34,DEGOUSDT.PERP,LONG,10,9599.9439,9649.18641272638,0.9409759193658829
A_f96ede8d34,DOODUSDT.PERP,LONG,10,11999.99982649,9649.18641272638,5.192175284028053
A_d444580218,DOODUSDT.PERP,LONG,10,11999.99982649,5923.192704922873,5.191651582717896
A_d444580218,DOODUSDT.PERP,LONG,10,11999.99969824,5923.192704922873,4.803205356001854
A_f96ede8d34,DOODUSDT.PERP,LONG,10,11999.99982198,9649.18641272638,4.799870699644089
A_f96ede8d34,ENSOUSDT.PERP,LONG,12,29999.98665,9649.18641272638,5.168620124459267
A_f96ede8d34,ENSOUSDT.PERP,LONG,10,29999.98295,9649.18641272638,7.253021076321602
A_f96ede8d34,ENSOUSDT.PERP,LONG,10,29999.9896,9649.18641272638,5.815725177526474
A_f96ede8d34,ESPORTSUSDT.PERP,SHORT,10,11999.992053,9649.18641272638,2.386919930577278
A_d444580218,ESPORTSUSDT.PERP,SHORT,10,11999.992053,5923.192704922873,2.386722788214684
A_d444580218,EULUSDT.PERP,LONG,10,29999.9728,5923.192704922873,4.521701484918594
A_f96ede8d34,EULUSDT.PERP,LONG,15,29999.95856,9649.18641272638,4.514497742056847
A_2db64f326b,FILUSDT.PERP,LONG,15,749999.99888,21989.19913135186,0.08916132152080536
A_2db64f326b,FILUSDT.PERP,LONG,15,374999.9898,21989.19913135186,0.06361663341522217
A_2db64f326b,FILUSDT.PERP,LONG,15,749999.99784,21989.19913135186,0.08458614349365234
A_2db64f326b,FILUSDT.PERP,LONG,16,749999.98935,21989.19913135186,0.05453668534755707
A_2db64f326b,FILUSDT.PERP,LONG,13,749999.9998,21989.19913135186,0.07431596517562866
A_2db64f326b,FILUSDT.PERP,LONG,13,749999.99118,21989.19913135186,0.07937595248222351
A_d444580218,HYPERUSDT.PERP,LONG,10,11999.9944,5923.192704922873,0.8775792270898819
A_f96ede8d34,HYPERUSDT.PERP,LONG,10,11999.99458,9649.18641272638,0.560310110449791
A_f96ede8d34,ICNTUSDT.PERP,LONG,10,11999.9893,9649.18641272638,2.702036574482918
A_f96ede8d34,ICNTUSDT.PERP,LONG,10,11999.98163,9649.18641272638,0.3137031197547913
A_f96ede8d34,ICNTUSDT.PERP,SHORT,10,11999.98332,9649.18641272638,0.3233718127012253
A_f96ede8d34,INUSDT.PERP,LONG,10,11999.93824,9649.18641272638,2.118737921118736
A_d444580218,INUSDT.PERP,LONG,10,11999.84598,5923.192704922873,2.111546248197556
A_f96ede8d34,INUSDT.PERP,SHORT,10,11999.94055,9649.18641272638,0.3187704831361771
A_d444580218,INUSDT.PERP,SHORT,10,11999.95006,5923.192704922873,0.3178424388170242
A_f96ede8d34,INUSDT.PERP,LONG,10,11999.8908,9649.18641272638,3.368637263774872
A_f96ede8d34,INUSDT.PERP,SHORT,10,11999.97615,9649.18641272638,0.3225289285182953
A_d444580218,INUSDT.PERP,SHORT,10,11999.97615,5923.192704922873,0.3475727140903473
A_2db64f326b,IPUSDT.PERP,LONG,5,59999.97213,21989.19913135186,0.190674215555191
A_f96ede8d34,IPUSDT.PERP,LONG,20,29999.95878,9649.18641272638,0.2563454210758209
A_d444580218,IPUSDT.PERP,LONG,10,29999.95878,5923.192704922873,0.2568671107292175
A_2db64f326b,IPUSDT.PERP,LONG,5,79999.9522,21989.19913135186,0.2522537112236023
A_f96ede8d34,JELLYJELLYUSDT.PERP,SHORT,10,4999.96096,9649.18641272638,1.254915073513985
A_d444580218,JELLYJELLYUSDT.PERP,SHORT,10,4999.96632,5923.192704922873,1.256304457783699
A_f96ede8d34,KAITOUSDT.PERP,LONG,20,31999.994716,9649.18641272638,1.645686104893684
A_d444580218,KAITOUSDT.PERP,LONG,20,31999.994716,5923.192704922873,1.64473794400692
A_f96ede8d34,KAVAUSDT.PERP,SHORT,10,11999.98954,9649.18641272638,0.7965463399887085
A_d444580218,KAVAUSDT.PERP,SHORT,10,11999.98954,5923.192704922873,0.794818326830864
A_f96ede8d34,KAVAUSDT.PERP,LONG,10,11999.99235,9649.18641272638,1.059374660253525
A_f96ede8d34,KERNELUSDT.PERP,SHORT,10,11999.836,9649.18641272638,0.8202657848596573
A_f96ede8d34,MAGICUSDT.PERP,LONG,10,11999.99592,9649.18641272638,1.691771820187569
A_d444580218,MAGICUSDT.PERP,LONG,10,11999.99592,5923.192704922873,1.691234037280083
A_f96ede8d34,MAVUSDT.PERP,SHORT,10,11999.98548,9649.18641272638,0.5931960046291351
A_d444580218,MAVUSDT.PERP,SHORT,10,11999.98548,5923.192704922873,0.5926991254091263
A_f96ede8d34,MERLUSDT.PERP,LONG,10,11999.976392,9649.18641272638,1.08554296195507
A_d444580218,MERLUSDT.PERP,LONG,10,11999.976392,5923.192704922873,1.085577830672264
A_f96ede8d34,MERLUSDT.PERP,LONG,10,11999.973776,9649.18641272638,0.64931720495224
A_d444580218,MERLUSDT.PERP,LONG,10,11999.973776,5923.192704922873,0.6606622785329819
A_f96ede8d34,MEUSDT.PERP,LONG,10,9599.999788,9649.18641272638,1.749323308467865
A_f96ede8d34,MEUSDT.PERP,LONG,10,9599.998695,9649.18641272638,0.5123139917850494
A_d444580218,MEUSDT.PERP,LONG,10,9599.998695,5923.192704922873,0.5110694468021393
A_f96ede8d34,MEUSDT.PERP,LONG,10,9599.995993,9649.18641272638,0.1919549703598022
A_d444580218,MEUSDT.PERP,LONG,10,9599.995993,5923.192704922873,0.1740170270204544
A_f96ede8d34,MIRAUSDT.PERP,LONG,10,29999.99562,9649.18641272638,0.2077183127403259
A_d444580218,MIRAUSDT.PERP,LONG,10,29999.99562,5923.192704922873,0.1992432028055191
A_f96ede8d34,MIRAUSDT.PERP,LONG,10,29999.99634,9649.18641272638,2.899599373340607
A_f96ede8d34,MOODENGUSDT.PERP,LONG,20,39999.95451,9649.18641272638,5.005636364221573
A_2db64f326b,MOODENGUSDT.PERP,LONG,6,79999.96229,21989.19913135186,0.046205073595047
A_2db64f326b,NEARUSDT.PERP,LONG,6,509333.3141,21989.19913135186,0.07918082177639008
A_2db64f326b,NEARUSDT.PERP,LONG,20,549999.7958,21989.19913135186,0.04677772521972656
A_2db64f326b,NEARUSDT.PERP,LONG,28,549999.7811,21989.19913135186,0.1119305938482285
A_2db64f326b,NEARUSDT.PERP,LONG,20,549999.9408,21989.19913135186,0.1463768631219864
A_2db64f326b,NEARUSDT.PERP,LONG,28,549999.9216,21989.19913135186,0.04606291651725769
A_f96ede8d34,OMUSDT.PERP,LONG,20,34787.987796,9649.18641272638,0.7650632411241531
A_f96ede8d34,OMUSDT.PERP,LONG,20,39999.999744,9649.18641272638,7.353473156690598
A_d444580218,OMUSDT.PERP,SHORT,20,39999.988369,5923.192704922873,1.692250594496727
A_f96ede8d34,OMUSDT.PERP,SHORT,20,39999.988369,9649.18641272638,1.690002232789993
A_f96ede8d34,OMUSDT.PERP,LONG,20,39999.993696,9649.18641272638,6.524377539753914
